Prompt,Response
Patient has a high fever.,"Paracetamol, Mild viral infection, ensure hydration."
Patient has a low-grade fever for an extended period.,"Ibuprofen, Monitor for infections; ensure rest."
Patient has chills and shivering.,"Paracetamol, Likely viral fever; keep warm."
Patient experiences night sweats.,"Hydration Therapy, Monitor for infections or temperature regulation issues."
Patient has general body weakness and fatigue.,"Multivitamin Syrup, Mild nutritional deficiency; ensure proper diet."
Patient reports unexplained weight loss.,"Nutritional Supplements, Monitor food intake; rule out underlying conditions."
Patient has persistent dizziness.,"ORS Solution, Possible dehydration; ensure proper fluid intake."
Patient has sudden fainting spells.,"Iron Syrup, Possible iron deficiency anemia; consult doctor if recurrent."
Patient complains of frequent headaches.,"Acetaminophen, Monitor hydration and screen for eye strain."
Patient has difficulty sleeping.,"Melatonin Syrup If Necessary, Promote a good bedtime routine; avoid screen time."
Patient has persistent stomach pain.,"Simethicone, Likely gas or indigestion; ensure proper hydration."
Patient experiences sharp abdominal pain.,"Ranitidine Syrup, Mild acid reflux; avoid acidic/spicy foods."
Patient complains of chest pain.,"Saline Nebulization, Mild respiratory infection; monitor breathing."
Patient has pain that radiates to the arms or jaw.,"Paracetamol, Likely muscular strain; consult a doctor if persistent."
Patient reports lower back pain.,"Topical Pain Relief Gel, Monitor posture and ensure ergonomic sitting."
Patient experiences upper back pain.,"Warm Compress, Likely muscle strain; ensure good posture."
Patient has joint pain and stiffness.,"Calcium Syrup, Ensure proper calcium intake for bone health."
Patient complains of muscle cramps and spasms.,"Magnesium Supplements, Mild deficiency; increase water intake."
Patient has pain in the legs while walking.,"Vitamin D Drops, Potential vitamin D deficiency; ensure outdoor play."
Patient has neck pain and stiffness.,"Warm Compress, Likely muscle strain; encourage stretching."
Patient experiences difficulty breathing.,"Salbutamol Inhaler if needed, Check for allergies or mild asthma-like symptoms."
Patient has persistent coughing.,"Honey Syrup, Monitor for cold or mild throat irritation."
Patient has a dry cough.,"Cough Syrup Dextromethorphan-Free, Ensure hydration; check for throat irritation."
Patient has a productive cough with mucus.,"Saline Nebulization, Monitor for infection; ensure nasal hygiene."
Patient is wheezing.,"Bronchodilator if prescribed, Monitor for asthma symptoms; consult doctor."
Patient reports shortness of breath with exertion.,"Salbutamol Inhaler if needed, Check for mild exercise-induced asthma."
Patient has a sore throat.,"Saltwater Gargles, Monitor for viral infections; ensure warm fluids."
Patient has nasal congestion and runny nose.,"Saline Nasal Spray, Likely mild allergy or cold; monitor symptoms."
Patient has frequent sneezing.,"Antihistamine Cetirizine Syrup, Possible allergic reaction; avoid triggers."
Patient coughs up blood.,"NO NEED tablet, Seek urgent medical consultation."
Patient experiences numbness or tingling in the limbs.,"NO NEED tablet, Monitor symptoms; ensure balanced nutrition."
Patient has sudden weakness on one side of the body.,"NO NEED tablet, Seek urgent medical consultation."
Patient complains of frequent migraines.,"Acetaminophen, Monitor hydration and eye strain."
Patient has sudden confusion and disorientation.,"NO NEED tablet, Seek urgent medical consultation."
Patient has difficulty maintaining balance.,"NO NEED tablet, Ensure hydration; consult doctor if persistent."
Patient has tremors or involuntary movements.,"NO NEED tablet, Seek urgent medical consultation."
